41.45,2.85,5.3828
41.45,2.95,4.991
41.45,3.05,4.2412
41.35,0.25,2.2786
41.35,0.35,1.9252
41.35,0.45,2.4953
41.35,0.55,2.7173
41.35,0.65,2.3706
41.35,0.75,1.5298
41.35,0.85,1.0023
41.35,0.95,1.093
41.35,1.05,1.4506
41.35,1.15,2.1674
41.35,1.25,3.2291
41.35,1.35,2.2893
41.35,1.45,2.254
41.35,1.55,8.1919
41.35,1.65,15.514
41.35,1.75,14.449
41.35,1.85,12.788
41.35,1.95,16.815
41.35,2.05,25.147
41.35,2.15,26.545
41.35,2.25,10.442
41.35,2.35,7.5065
41.35,2.45,8.1834
41.35,2.55,8.0659
41.35,2.65,6.6759
41.35,2.75,4.9927
41.35,2.85,4.0767
41.35,2.95,3.5181
41.35,3.05,3.1696
41.25,0.25,2.94
41.25,0.35,2.2224
41.25,0.45,2.29
41.25,0.55,2.3125
41.25,0.65,1.9723
41.25,0.75,1.3026
41.25,0.85,0.87288
41.25,0.95,0.7524
41.25,1.05,0.97709
41.25,1.15,1.9664
41.25,1.25,2.6375
41.25,1.35,5.1006
41.25,1.45,5.9695
41.25,1.55,12.696
41.25,1.65,19.301
41.25,1.75,16.302
41.25,1.85,16.944
41.25,1.95,23.468
41.25,2.05,29.178
41.25,2.15,25.039
41.25,2.25,13.879
41.25,2.35,10.25
41.25,2.45,8.0388
41.25,2.55,5.5884
41.25,2.65,4.6363
41.25,2.75,3.481
41.25,2.85,3.1509
41.25,2.95,2.9908
41.25,3.05,2.69
41.15,0.25,2.6229
41.15,0.35,1.9467
41.15,0.45,1.9874
41.15,0.55,2.2807
41.15,0.65,2.6433
41.15,0.75,2.0457
41.15,0.85,1.4459
41.15,0.95,1.1519
41.15,1.05,2.745
41.15,1.15,9.3492
41.15,1.25,16.087
41.15,1.35,7.1198
41.15,1.45,10.479
41.15,1.55,12.799
41.15,1.65,22.063
41.15,1.75,22.708
41.15,1.85,28.489
41.15,1.95,28.226
41.15,2.05,23.372
41.15,2.15,12.124
41.15,2.25,8.4522
41.15,2.35,6.651
41.15,2.45,5.5721
41.15,2.55,5.636
41.15,2.65,5.0606
41.15,2.75,4.1581
41.15,2.85,3.4139
41.15,2.95,2.6357
41.15,3.05,1.9434
41.05,0.25,2.5838
41.05,0.35,2.1422
41.05,0.45,2.6392
41.05,0.55,2.1507
41.05,0.65,1.8222
41.05,0.75,2.3479
41.05,0.85,2.1419
41.05,0.95,2.3731
41.05,1.05,4.2982
41.05,1.15,13.279
41.05,1.25,12.553
41.05,1.35,5.1341
41.05,1.45,5.8833
41.05,1.55,9.0977
41.05,1.65,17.772
41.05,1.75,21.288
41.05,1.85,17.814
41.05,1.95,12.518
41.05,2.05,13.783
41.05,2.15,8.1431
41.05,2.25,5.5158
41.05,2.35,4.2852
41.05,2.45,4.4809
41.05,2.55,4.5722
41.05,2.65,4.2043
