time,lat,lon,CO,NO2,SO2,O3,PM10,PM25
2020-05-25 07:00:00+00:00,37.238362,-1.800444,,11.28,5.24,62.0,24.0,
2020-05-25 07:00:00+00:00,36.996946,-1.894651,,5.64,0.0,62.0,12.0,
2020-05-25 03:00:00+00:00,36.845894,-2.042628,343.5,1.88,2.62,86.0,10.0,
2020-05-25 08:00:00+00:00,37.190395,-1.981424,0.0,1.88,2.62,86.0,11.0,
2020-05-25 08:00:00+00:00,36.912881,-2.066294,343.5,3.76,2.62,50.0,10.0,
2020-05-25 08:00:00+00:00,37.140279,-1.850733,,15.04,2.62,60.0,10.0,
2020-05-25 08:00:00+00:00,36.168256,-5.349472,801.5,1.88,0.0,66.0,10.0,
2020-05-25 08:00:00+00:00,36.185065,-5.492557,229.0,5.64,7.86,114.0,14.0,
2020-05-25 08:00:00+00:00,36.175,-5.433333,572.5,9.399999999999999,5.24,46.0,33.0,
2020-05-25 07:00:00+00:00,36.210462,-5.384432,0.0,3.76,2.62,58.0,23.0,
2020-05-12 05:00:00+00:00,36.508232,-6.27548,1030.5,3.76,5.24,60.0,17.0,
2020-05-25 08:00:00+00:00,36.523541,-6.225865,1030.5,3.76,5.24,74.0,29.0,
2020-05-25 06:00:00+00:00,36.471865,-6.196595,916.0,1.88,0.0,76.0,6.0,
2020-05-25 08:00:00+00:00,36.680721,-6.128306,0.0,3.76,5.24,76.0,19.0,
2015-09-02 23:00:00+00:00,36.680721,-6.128306,,5.64,5.24,,24.0,
2020-05-25 08:00:00+00:00,36.140759,-5.456233,229.0,33.839999999999996,2.62,44.0,24.0,
2020-05-25 08:00:00+00:00,36.688354,-6.12143,0.0,1.88,0.0,82.0,9.0,
2020-05-25 08:00:00+00:00,36.756004,-5.811652,0.0,1.88,0.0,86.0,14.0,
2020-05-25 08:00:00+00:00,36.756004,-5.811652,,,,,,
2020-05-25 08:00:00+00:00,38.189777,-5.019546,0.0,0.0,2.62,94.0,15.0,
2020-05-25 08:00:00+00:00,37.90402,-4.783399,0.0,13.16,2.62,74.0,33.0,
2020-05-25 08:00:00+00:00,37.8935,-4.771106,0.0,9.399999999999999,2.62,74.0,34.0,
2020-05-25 08:00:00+00:00,38.132746,-4.79991,0.0,0.0,0.0,94.0,16.0,
2020-05-25 07:00:00+00:00,37.894351,-4.777813,0.0,26.32,5.24,58.0,17.0,
2020-05-25 08:00:00+00:00,37.202596,-3.598989,0.0,22.56,5.24,70.0,22.0,
2020-05-25 08:00:00+00:00,37.165664,-3.598514,0.0,15.04,0.0,70.0,24.0,
2020-05-25 08:00:00+00:00,37.143916,-3.625453,0.0,20.68,5.24,62.0,32.0,
2020-05-25 08:00:00+00:00,37.608429,-5.735772,0.0,9.399999999999999,0.0,70.0,23.0,
2020-05-25 07:00:00+00:00,37.245972,-6.933661,572.5,5.64,2.62,70.0,23.0,
2020-05-25 08:00:00+00:00,37.265257,-6.954797,0.0,5.64,0.0,80.0,42.0,
2020-05-25 00:00:00+00:00,37.27464,-6.836908,0.0,1.88,10.48,40.0,24.0,
2020-05-25 08:00:00+00:00,37.361124,-6.678514,,9.399999999999999,0.0,40.0,33.0,
2020-05-25 08:00:00+00:00,37.208835,-6.919572,572.5,13.16,2.62,58.0,18.0,
2020-05-25 00:00:00+00:00,37.228894,-6.895426,572.5,9.399999999999999,0.0,74.0,36.0,
2020-05-25 06:00:00+00:00,37.185259,-6.970498,572.5,22.56,2.62,40.0,20.0,
2020-05-25 08:00:00+00:00,37.315797,-6.84314,0.0,7.52,5.24,40.0,32.0,
2020-05-25 07:00:00+00:00,37.267024,-6.918958,0.0,7.52,0.0,70.0,33.0,
2020-05-25 05:00:00+00:00,37.228894,-6.895426,572.5,1.88,0.0,54.0,24.0,
2020-05-25 08:00:00+00:00,37.134306,-6.804948,0.0,5.64,7.86,82.0,36.0,
2020-05-25 08:00:00+00:00,36.998254,-6.551621,0.0,1.88,0.0,88.0,23.0,
2020-05-24 05:00:00+00:00,38.09516,-3.776528,0.0,15.04,2.62,16.0,47.0,
2020-05-25 08:00:00+00:00,37.782039,-3.779962,0.0,7.52,7.86,68.0,19.0,
2020-05-25 08:00:00+00:00,38.170015,-3.010066,0.0,5.64,,70.0,27.0,
2020-05-25 08:00:00+00:00,36.734962,-4.473721,0.0,9.399999999999999,5.24,86.0,20.0,
2020-05-25 08:00:00+00:00,36.716736,-4.445505,0.0,13.16,2.62,28.0,14.0,
